autoID,ScopeItemID,Description,LOB,BusinessArea,Status,AE,AR,AT,AU,BE,BG,BR,CA,CH,CL,CN,CO,CZ,DE,DK,EG,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IND,IT,JP,KR,KW,KZ,LU,MX,MY,NL,NR,NZ,OM,PE,PH,PL,PT,QA,RO,RS,RU,SA,SE,SG,SI,SK,TH,TR,TW,UA,US,ZA,Non_Localised
194,4I9,Project Control   Sales,Finance,Cost Management and Profitability Analysis,Available,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
195,BEG,Standard Cost Calculation,Finance,Cost Management and Profitability Analysis,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
196,34B,Statistical Sales Conditions,Finance,Cost Management and Profitability Analysis,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
197,1W4,Subsidiary Integration of SAP S/4HANA Cloud to Central Finance,Finance,Cost Management and Profitability Analysis,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
198,2QL,Universal Allocation,Finance,Cost Management and Profitability Analysis,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
199,3AB,Automated Provisioning via SAP Cloud Identity Access Governance,Finance,Enterprise Risk and Compliance,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
200,2U3,Classification for Customs Tariff Number and Commodity Code,Finance,Enterprise Risk and Compliance,Available,Released,Released,Released,Released,Released,Released,No,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released
201,24J,Compliance Management with SAP Global Trade Services,Finance,Enterprise Risk and Compliance,Available,Released,No,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
202,2OH,Continuous Control Monitoring with SAP Process Control,Finance,Enterprise Risk and Compliance,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
203,2U1,Customs Management with SAP Global Trade Services,Finance,Enterprise Risk and Compliance,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
204,1WC,Embargo Control,Finance,Enterprise Risk and Compliance,Available,Released,No,Released,Released,Released,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
205,3KY,Financial Operation Monitoring with SAP Financial Compliance,Finance,Enterprise Risk and Compliance,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
206,5W6,Foreign Trade for Procurement,Finance,Enterprise Risk and Compliance,Available,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
207,BDT,Intrastat Processing,Finance,Enterprise Risk and Compliance,Available,No,No,Released,No,Released,Released,No,No,No,No,No,No,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,No,Released,No,No,Released,No,No,No,No,Released,No,No,Released,No,No,No,No,No,Released,Released,No,Released,No,No,No,Released,No,Released,Released,No,No,No,No,No,No,No
208,5PA,Intrastat Processing for Belgium,Finance,Enterprise Risk and Compliance,Available,No,No,Released,No,No,No,No,No,Released,No,No,No,Released,Released,No,No,Released,Released,Released,Released,No,No,No,No,No,Released,No,No,Released,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,Released,No
209,5Z4,Intrastat Processing for Czech Republic,Finance,Enterprise Risk and Compliance,Available,No,No,Released,No,Released,No,No,No,Released,No,No,No,No,Released,No,No,Released,Released,Released,Released,No,No,No,No,No,Released,No,No,Released,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,Released,No
210,5OL,Intrastat Processing for Germany,Finance,Enterprise Risk and Compliance,Available,No,No,Released,No,Released,No,No,No,Released,No,No,No,Released,No,No,No,Released,Released,Released,Released,No,No,No,No,No,Released,No,No,Released,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,Released,No
211,5Z3,Intrastat Processing for Sweden,Finance,Enterprise Risk and Compliance,Available,No,No,Released,No,Released,No,No,No,Released,No,No,No,Released,Released,No,No,Released,Released,Released,Released,No,No,No,No,No,Released,No,No,Released,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No
212,2U2,Key Risk Indicator Monitoring with SAP Risk Management,Finance,Enterprise Risk and Compliance,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
213,1W8,Legal Control,Finance,Enterprise Risk and Compliance,Available,Released,No,Released,Released,Released,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
214,3JX,Preference Management with SAP Global Trade Services,Finance,Enterprise Risk and Compliance,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
215,3KX,Privacy Risk Detection with SAP Privacy Governance,Finance,Enterprise Risk and Compliance,Available,Released,No,Released,Released,Released,No,No,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
216,54U,Produce and Sell Standard Products - Inventory Management,Finance,Enterprise Risk and Compliance,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
217,1WE,Restricted Party Screening with SAP Watch List Screening,Finance,Enterprise Risk and Compliance,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
218,24H,Transfer of Bill of Materials for SAP Global Trade Services,Finance,Enterprise Risk and Compliance,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
219,24F,Transfer of Contact Person for SAP Global Trade Services,Finance,Enterprise Risk and Compliance,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
220,1WA,Transfer of Primary Master Data for SAP Global Trade Services,Finance,Enterprise Risk and Compliance,Available,Released,No,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
221,5IM,Product Footprint Management,Finance,Environmental Footprint Management,Available,Released,No,Released,Released,Released,No,No,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,No,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
222,J60,Accounts Payable,Finance,Financial Operations,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
223,J59,Accounts Receivable,Finance,Financial Operations,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
224,4X8,Advanced Bank Statement Automation,Finance,Financial Operations,Available,Released,No,Released,Released,Released,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
225,2LH,Automated Invoice Settlement,Finance,Financial Operations,Available,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
226,55F,Automotive Supply to Customer - Inventory Management,Finance,Financial Operations,Available,Released,No,Released,Released,Released,No,No,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,No,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
227,1WQ,Bill of Exchange,Finance,Financial Operations,Available,Released,Released,No,No,No,Released,No,No,No,No,Released,No,No,No,No,Released,Released,No,Released,No,Released,No,Released,No,Released,No,No,Released,Released,Released,Released,No,No,No,No,No,No,No,No,Released,No,Released,No,No,Released,No,Released,No,No,No,No,Released,No,Released,Released,Released,No,No,No,No
228,1MV,Cash Application Integration,Finance,Financial Operations,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
229,2UT,Complementary Invoice   Pricing,Finance,Financial Operations,Available,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
230,1S0,Customer Payments,Finance,Financial Operations,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
231,1S2,Digital Payments,Finance,Financial Operations,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
232,19M,Direct Debit,Finance,Financial Operations,Available,Released,No,Released,Released,Released,Released,No,Released,Released,No,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,No,Released,No,Released,Released,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
233,2RP,Electronic Documents,Finance,Financial Operations,Available,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
234,6GD,Engineer Products and Systems - Project with Production,Finance,Financial Operations,Available,Released,No,Released,Released,Released,No,No,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,No,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
235,2M0,External Customer Payments,Finance,Financial Operations,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
236,2LZ,External Digital Payments,Finance,Financial Operations,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
237,2UP,Fixed Asset Tax Credit,Finance,Financial Operations,Available,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
238,2MB,Integration of Payment Advice with Buyers and Suppliers,Finance,Financial Operations,Available,Released,No,Released,Released,Released,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
239,3JK,Integration of SAP S/4HANA Cloud to SAP Tax Declaration Framework,Finance,Financial Operations,Available,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
240,43D,Integration with External Tax Calculation Engines,Finance,Financial Operations,Available,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
241,1J5,"Invoice, Taxes and Complementary Postings",Finance,Financial Operations,Available,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
242,1JT,Lockbox,Finance,Financial Operations,Available,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No
243,55E,Lot Size of One with Advanced Variant Configuration,Finance,Financial Operations,Available,Released,No,Released,Released,Released,No,No,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,No,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Planned
244,54U,Produce and Sell Standard Products - Inventory Management,Finance,Financial Operations,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
245,54V,Produce and Sell Standard Products - Warehouse Managed,Finance,Financial Operations,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Planned
246,2PD,Provisioning of Overdue Receivables,Finance,Financial Operations,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
247,55I,Royalties Settlement for Sales,Finance,Financial Operations,Available,Released,No,Released,Released,Released,Released,No,Released,Released,No,Released,No,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,No,No,No,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
248,2JB,SAP Fiori Analytical Apps for Financial Accounting,Finance,Financial Operations,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
249,1W4,Subsidiary Integration of SAP S/4HANA Cloud to Central Finance,Finance,Financial Operations,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
250,4AV,Supplier Financing,Finance,Financial Operations,Available,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released
251,1M1,Travel Expense Processing with SAP Concur Expense Professional,Finance,Financial Operations,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
252,5VX,Enable for Use and Contract Management,Finance,Real Estate Management,Available,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,Released,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No
253,5YU,Enable for Use and Contract Management - Group Ledger IFRS,Finance,Real Estate Management,Available,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No
254,63Q,Enable for Use and Contract Management - Group Ledger US GAAP,Finance,Real Estate Management,Available,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No
255,5VY,External Occupancy and Contract Management,Finance,Real Estate Management,Available,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,Released,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No
256,5YV,External Occupancy and Contract Management - Group Ledger IFRS,Finance,Real Estate Management,Available,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No
257,63R,External Occupancy and Contract Management - Group Ledger US GAAP,Finance,Real Estate Management,Available,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No
258,4X3,Integration of SAP S/4HANA and SAP Cloud for Real Estate,Finance,Real Estate Management,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,No,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
259,5W0,Intercompany Occupancy and Contract Management,Finance,Real Estate Management,Available,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No
260,5YW,Intercompany Occupancy and Contract Management - Group Ledger IFRS,Finance,Real Estate Management,Available,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No
261,63S,Intercompany Occupancy and Contract Mgmt - Group Ledger US GAAP,Finance,Real Estate Management,Available,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No
262,2O9,Intercompany Process for Sublease Accounting,Finance,Real Estate Management,Available,Released,No,Released,Released,Released,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,No,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
263,5VZ,Internal Occupancy and Cost Allocation,Finance,Real Estate Management,Available,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No
